date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-16,ускорение сайта wordpress,плагин для ускорения сайта на wordpress,10,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,перенос сайта на wordpress,101,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,перенос сайта wordpress на другой,46,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,перенос сайта wordpress на хостинг,28,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,перенос сайта на wordpress на домен,25,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,перенос сайт wordpress на другой домен,22,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,перенос сайта wordpress,wordpress перенос сайта на другой хостинг,20,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,доработка сайта wordpress,доработка сайта на wordpress,45,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,поддержка сайта wordpress,поддержка сайтов wordpress,48,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,поддержка сайта wordpress,техническая поддержка сайта wordpress,8,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,безопасность wordpress,безопасность wordpress,84,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,безопасность wordpress,безопасность сайта wordpress,21,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,безопасность wordpress,безопасность wordpress плагины,13,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,безопасность wordpress,wordpress книга по безопасности,6,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,wordpress вирусы,wordpress вирусы,30,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор для сайта,1908,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,онлайн калькулятор для сайта,614,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор для расчета сайта,541,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор стоимости для сайта,525,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькуляторы для сайта бесплатно,92,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор для сайта скачать,57,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,разработка калькулятора для сайта,45,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,создать калькулятор для сайта,44,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор для расчета стоимости сайта,29,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,создание калькуляторов для сайта,27,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,код калькулятора для сайта,26,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,конструктор калькуляторов для сайтов,25,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,как сделать калькулятор для сайта,23,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор доставки для сайта,22,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,калькулятор для сайта,калькулятор услуг для сайта,21,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,разработка плагина wordpress,wordpress плагины разработка,26,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайтов,3139,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайта бесплатно,865,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,лучшая нейросеть для создания сайтов,133,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайта на русском,92,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания дизайна сайта,90,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,ai нейросеть для создания сайта,85,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайта с нуля,78,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайтов с нуля бесплатно,67,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,нейросеть для создания сайта,нейросеть для создания сайта онлайн,52,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,оптимизация сайта под нейросети,оптимизация сайта под нейросети,31,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,наполнение сайта контентом,наполнение сайта контентом,293,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,наполнение сайта контентом,наполнение сайта контентом работа,33,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,наполнение сайта контентом,контент менеджер наполнение сайта,13,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,наполнение сайта контентом,пошаговое наполнение сайта контентом,6,225 Россия,all,wordstat_mcp_kv,top,
2026-05-16,статья для сайта заказать,заказать статью для сайта,26,225 Россия,all,wordstat_mcp_kv,top,
